NO_OF_FRAMES	229
NO_OF_CAMERAS	16
NO_OF_MARKERS	53
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2016-09-06, 20:16:48	13033.15494344
DATA_INCLUDED	3D
MARKER_NAMES	L_HEAD	R_HEAD	SGL	SJN	SXS	CV7	TV2	MAI	LV1	LV3	LV5	L_SAE	L_HUM	L_HLE	L_RSP	L_USP	L_HM2	R_SAE	R_HUM	R_HLE	R_RSP	R_USP	R_HM2	L_IAS	L_IPS	R_IPS	R_IAS	L_FTC	L_FLE	L_FAX	L_TTC	L_FAL	L_FCC2	L_FCC	L_LCAL	L_FMT	L_FM5	L_FM2	L_PM6	L_P1MT	R_FTC	R_FLE	R_FAX	R_TTC	R_FAL	R_FCC2	R_FCC	R_LCAL	R_FMT	R_FM5	R_FM2	R_PM6	R_P1MT
Frame	Time	L_HEAD X	L_HEAD Y	L_HEAD Z	R_HEAD X	R_HEAD Y	R_HEAD Z	SGL X	SGL Y	SGL Z	SJN X	SJN Y	SJN Z	SXS X	SXS Y	SXS Z	CV7 X	CV7 Y	CV7 Z	TV2 X	TV2 Y	TV2 Z	MAI X	MAI Y	MAI Z	LV1 X	LV1 Y	LV1 Z	LV3 X	LV3 Y	LV3 Z	LV5 X	LV5 Y	LV5 Z	L_SAE X	L_SAE Y	L_SAE Z	L_HUM X	L_HUM Y	L_HUM Z	L_HLE X	L_HLE Y	L_HLE Z	L_RSP X	L_RSP Y	L_RSP Z	L_USP X	L_USP Y	L_USP Z	L_HM2 X	L_HM2 Y	L_HM2 Z	R_SAE X	R_SAE Y	R_SAE Z	R_HUM X	R_HUM Y	R_HUM Z	R_HLE X	R_HLE Y	R_HLE Z	R_RSP X	R_RSP Y	R_RSP Z	R_USP X	R_USP Y	R_USP Z	R_HM2 X	R_HM2 Y	R_HM2 Z	L_IAS X	L_IAS Y	L_IAS Z	L_IPS X	L_IPS Y	L_IPS Z	R_IPS X	R_IPS Y	R_IPS Z	R_IAS X	R_IAS Y	R_IAS Z	L_FTC X	L_FTC Y	L_FTC Z	L_FLE X	L_FLE Y	L_FLE Z	L_FAX X	L_FAX Y	L_FAX Z	L_TTC X	L_TTC Y	L_TTC Z	L_FAL X	L_FAL Y	L_FAL Z	L_FCC2 X	L_FCC2 Y	L_FCC2 Z	L_FCC X	L_FCC Y	L_FCC Z	L_LCAL X	L_LCAL Y	L_LCAL Z	L_FMT X	L_FMT Y	L_FMT Z	L_FM5 X	L_FM5 Y	L_FM5 Z	L_FM2 X	L_FM2 Y	L_FM2 Z	L_PM6 X	L_PM6 Y	L_PM6 Z	L_P1MT X	L_P1MT Y	L_P1MT Z	R_FTC X	R_FTC Y	R_FTC Z	R_FLE X	R_FLE Y	R_FLE Z	R_FAX X	R_FAX Y	R_FAX Z	R_TTC X	R_TTC Y	R_TTC Z	R_FAL X	R_FAL Y	R_FAL Z	R_FCC2 X	R_FCC2 Y	R_FCC2 Z	R_FCC X	R_FCC Y	R_FCC Z	R_LCAL X	R_LCAL Y	R_LCAL Z	R_FMT X	R_FMT Y	R_FMT Z	R_FM5 X	R_FM5 Y	R_FM5 Z	R_FM2 X	R_FM2 Y	R_FM2 Z	R_PM6 X	R_PM6 Y	R_PM6 Z	R_P1MT X	R_P1MT Y	R_P1MT Z	
1	0.00000	2366.027	83.741	1652.105	2373.940	254.245	1641.639	2238.999	174.255	1670.891	2317.688	153.458	1398.458	2286.076	148.729	1245.426	2444.878	168.964	1493.680	2466.051	166.254	1457.563	2500.458	161.552	1325.250	2464.881	163.136	1143.584	2458.926	160.615	1104.897	2468.783	163.206	1068.151	2403.588	-46.690	1447.009	2452.442	-80.274	1276.776	2480.520	-87.996	1129.925	2383.960	-85.541	884.307	2440.514	-122.848	869.839	2396.659	-119.259	806.695	2379.551	366.309	1430.803	2415.414	422.894	1261.591	2386.548	459.387	1120.781	2194.214	403.309	940.095	2233.695	450.029	907.151	2150.156	430.922	879.658	2319.968	46.287	1002.331	2475.602	123.743	1045.990	2474.021	210.508	1041.226	2307.015	261.297	997.258	2375.858	-16.360	831.761	2220.562	8.663	528.546	2218.598	8.958	460.076	2169.239	54.459	445.879	2231.671	50.190	95.387	2282.227	100.278	95.226	2287.343	103.156	56.234	2235.972	61.205	50.812	2184.477	46.564	48.168	2123.314	33.784	41.259	2103.684	77.046	62.102	2052.551	108.051	62.495	2152.894	98.689	99.479	2407.938	325.420	805.524	2468.124	279.208	499.527	2503.547	287.458	431.354	2454.519	235.821	415.748	2613.885	232.945	89.131	2658.704	186.527	94.282	2671.366	182.549	59.008	2623.689	221.064	47.471	2570.399	236.455	37.406	2514.822	253.902	25.034	2477.208	206.318	33.006	2437.923	164.006	19.366	2529.357	187.641	76.798
2	0.01000	2350.722	83.053	1649.922	2358.474	253.572	1639.577	2223.528	173.403	1668.674	2302.461	152.827	1396.241	2271.078	148.263	1243.156	2429.627	168.415	1491.622	2450.834	165.762	1455.530	2485.290	161.093	1323.233	2449.915	162.573	1141.499	2443.889	160.037	1102.737	2453.870	162.606	1065.986	2388.949	-47.338	1444.949	2437.951	-80.658	1274.752	2465.960	-87.671	1127.771	2372.462	-86.665	881.599	2430.354	-123.603	868.266	2385.909	-120.747	804.481	2364.120	365.735	1428.903	2399.145	422.544	1259.533	2368.996	459.470	1119.128	2173.269	402.128	942.665	2211.938	448.729	908.663	2127.832	429.411	883.142	2304.225	46.230	1000.045	2460.406	123.144	1043.724	2459.098	209.969	1039.077	2292.086	261.415	995.185	2361.046	-16.555	829.211	2204.563	9.226	526.311	2200.030	9.062	457.939	2149.379	54.188	446.202	2189.725	50.138	92.865	2240.061	100.308	90.223	2243.191	102.690	50.934	2191.227	61.291	48.087	2139.543	46.884	48.010	2078.090	34.319	44.526	2059.798	77.573	66.769	2008.517	108.875	70.229	2110.998	98.719	101.747	2395.699	325.676	804.204	2461.098	279.034	499.442	2497.564	287.583	431.867	2448.414	236.359	415.415	2612.898	232.712	91.123	2657.471	186.207	97.044	2670.790	182.034	62.230	2623.342	220.793	49.498	2570.239	236.440	38.524	2514.979	253.684	25.156	2477.035	206.579	33.011	2437.862	164.197	19.371	2528.772	188.391	77.402
3	0.02000	2335.353	82.352	1647.626	2342.941	252.878	1637.425	2208.116	172.557	1666.371	2287.171	152.178	1393.968	2255.979	147.731	1240.864	2414.325	167.847	1489.467	2435.580	165.246	1453.408	2470.061	160.574	1321.114	2434.915	161.889	1139.251	2428.894	159.404	1100.477	2438.880	161.917	1063.625	2373.939	-47.960	1442.736	2423.366	-81.054	1272.615	2452.015	-87.856	1125.818	2360.345	-87.737	878.822	2417.887	-124.356	865.579	2374.702	-122.027	801.944	2348.571	365.086	1426.843	2382.895	422.049	1257.359	2351.549	459.407	1117.320	2152.655	400.986	944.893	2190.630	447.352	909.835	2105.966	427.966	886.281	2288.315	46.222	997.763	2445.094	122.520	1041.309	2444.031	209.360	1036.756	2277.073	261.586	993.053	2346.251	-16.730	826.364	2188.930	9.709	523.617	2182.188	8.345	456.625	2130.124	54.055	446.180	2149.516	50.240	91.560	2199.896	98.793	85.568	2200.271	103.184	46.925	2148.341	61.583	46.732	2096.772	47.503	48.813	2035.151	34.437	48.992	2017.954	77.523	72.518	1967.206	108.181	80.079	2070.895	98.450	105.006	2383.344	326.007	802.884	2452.979	279.255	499.392	2490.797	287.853	432.464	2441.750	236.933	415.013	2611.851	232.825	93.382	2656.073	186.200	100.061	2669.942	181.953	65.518	2622.839	220.828	51.791	2569.944	236.569	39.587	2515.032	253.583	25.214	2476.847	206.718	32.941	2437.856	163.914	19.302	2528.120	187.583	78.238
4	0.03000	2320.014	81.565	1645.290	2327.393	252.090	1635.188	2192.768	171.761	1664.065	2271.816	151.472	1391.656	2240.808	147.153	1238.478	2398.765	167.608	1487.391	2420.207	164.706	1451.174	2454.766	160.007	1318.958	2420.435	161.670	1137.049	2413.679	158.262	1098.508	2424.427	161.486	1061.221	2358.799	-48.587	1440.430	2408.627	-81.515	1270.334	2437.734	-88.112	1123.736	2347.502	-88.697	876.224	2405.763	-125.281	863.325	2363.292	-123.045	799.153	2332.924	364.408	1424.737	2366.602	421.475	1255.084	2334.204	459.172	1115.413	2132.827	399.600	946.983	2169.771	445.963	910.730	2084.642	426.599	889.025	2272.153	46.212	995.512	2431.659	121.968	1039.026	2428.943	208.515	1034.498	2262.009	261.662	991.007	2330.964	-17.155	823.367	2173.531	10.181	520.586	2163.636	9.491	452.979	2111.343	54.035	445.934	2110.994	50.669	91.498	2161.111	99.680	82.086	2159.214	104.102	44.270	2107.681	61.976	46.507	2056.299	47.570	51.022	1994.917	33.910	54.421	1978.940	77.061	78.968	1928.015	107.474	88.983	2033.046	98.040	108.133	2370.726	326.485	801.731	2444.215	279.524	499.356	2483.124	288.459	433.123	2434.572	237.594	414.579	2610.704	233.684	96.182	2654.216	187.035	103.120	2668.930	182.313	69.137	2622.104	221.222	54.288	2569.947	237.375	40.644	2514.966	253.644	25.232	2476.591	206.914	32.834	2437.872	163.997	19.317	2528.044	188.215	79.565
5	0.04000	2304.782	80.823	1642.960	2311.551	250.952	1632.834	2177.878	170.342	1661.995	2256.894	150.294	1389.394	2225.922	146.403	1236.054	2383.576	167.129	1485.130	2404.862	164.198	1448.981	2439.500	159.489	1316.782	2405.251	160.980	1134.643	2398.427	157.470	1096.129	2409.103	160.650	1058.595	2343.773	-49.140	1438.066	2393.320	-81.624	1267.767	2423.484	-88.427	1121.490	2334.884	-89.681	873.308	2393.548	-126.428	860.941	2351.782	-124.329	796.519	2317.619	363.717	1422.719	2350.191	420.798	1252.731	2316.903	458.738	1113.401	2113.040	398.429	948.493	2149.337	444.467	911.436	2063.875	425.320	891.449	2255.988	46.054	993.377	2416.098	121.177	1036.270	2413.248	207.681	1031.441	2247.023	261.712	989.010	2314.446	-18.446	820.761	2158.433	10.523	517.427	2146.136	9.501	450.576	2093.433	54.033	445.597	2076.366	50.779	91.959	2124.266	100.904	80.591	2120.267	105.660	42.909	2069.676	62.384	47.346	2018.717	47.444	53.967	1957.556	32.760	60.500	1942.244	75.875	85.752	1891.582	105.703	98.370	1997.737	96.969	112.852	2357.836	326.968	800.630	2434.823	279.797	499.256	2475.088	288.690	433.701	2426.975	238.216	414.194	2609.193	234.391	98.724	2652.680	187.888	107.020	2668.071	183.010	72.998	2621.173	221.986	57.104	2569.095	238.208	42.047	2514.930	253.876	25.293	2476.448	207.156	32.665	2437.965	164.105	19.444	2526.736	188.844	80.419
6	0.05000	2289.454	79.937	1640.633	2295.946	250.042	1630.633	2162.493	169.246	1659.709	2241.440	149.471	1387.065	2210.597	145.751	1233.684	2368.140	166.475	1482.932	2389.455	163.559	1446.815	2424.111	158.833	1314.587	2389.891	160.140	1132.343	2383.354	157.116	1093.258	2392.851	159.326	1055.933	2328.203	-49.666	1435.613	2378.361	-82.139	1265.356	2408.618	-88.789	1119.236	2322.427	-91.140	870.296	2380.576	-127.566	858.629	2339.482	-125.460	793.708	2301.848	362.974	1420.551	2333.836	420.035	1250.359	2299.735	458.154	1111.350	2093.573	397.198	949.648	2129.403	442.966	911.757	2043.531	424.013	893.444	2239.369	45.880	991.207	2400.164	120.139	1033.573	2397.842	206.577	1028.813	2231.731	261.759	987.009	2298.352	-19.252	817.757	2143.435	10.857	514.182	2129.128	9.644	448.127	2075.963	53.953	445.178	2044.014	50.012	92.954	2089.809	101.807	79.864	2084.079	106.697	42.512	2034.276	62.693	48.739	1983.890	47.161	56.919	1923.033	32.006	65.814	1908.190	74.486	92.228	1857.778	103.489	107.189	1964.574	96.055	117.253	2344.598	327.216	799.600	2425.000	280.170	499.252	2466.428	289.083	434.388	2418.609	238.843	413.745	2607.337	235.626	101.697	2650.403	189.285	111.240	2666.700	184.309	77.371	2620.049	223.101	60.178	2568.364	239.060	43.417	2514.677	254.199	25.282	2476.101	207.617	32.505	2438.116	164.143	19.457	2525.095	189.927	81.415
7	0.06000	2273.418	79.554	1638.090	2280.327	249.107	1628.499	2147.198	167.978	1657.557	2225.913	148.664	1384.777	2195.203	145.079	1231.339	2352.668	165.729	1480.780	2373.960	162.869	1444.647	2408.594	158.101	1312.430	2374.266	159.157	1130.068	2367.548	156.045	1090.885	2376.966	158.058	1053.445	2312.939	-50.452	1433.208	2363.186	-82.683	1262.846	2393.351	-89.288	1116.845	2308.838	-92.125	867.113	2367.128	-128.771	856.218	2326.772	-126.499	790.878	2285.983	362.198	1418.364	2317.492	419.190	1247.996	2282.631	457.423	1109.203	2074.491	396.015	950.418	2109.885	441.500	911.850	2023.690	422.718	894.919	2222.552	45.657	989.017	2383.987	118.870	1030.988	2382.201	205.299	1026.312	2216.157	261.837	985.125	2281.683	-20.294	814.920	2128.662	11.123	510.988	2112.905	9.721	445.757	2059.030	53.651	444.698	2012.218	50.775	94.516	2058.016	102.626	79.971	2050.781	107.762	42.614	2002.208	62.506	50.580	1951.826	46.902	60.037	1891.510	30.895	70.802	1877.098	72.952	97.947	1826.756	101.287	114.965	1934.239	94.732	121.347	2330.815	327.280	798.550	2414.329	280.472	499.128	2457.061	289.434	435.067	2409.397	239.407	413.093	2605.155	237.010	105.071	2648.075	190.701	115.851	2664.955	185.801	82.292	2618.642	224.358	63.607	2567.297	240.007	45.031	2514.359	254.514	25.275	2475.733	207.676	32.250	2438.287	164.157	19.467	2523.315	191.082	82.667
8	0.07000	2258.052	78.568	1636.003	2264.724	248.104	1626.547	2131.696	166.821	1655.563	2210.245	147.788	1382.644	2179.489	144.362	1229.235	2337.157	164.953	1478.652	2358.459	162.097	1442.574	2392.989	157.268	1310.341	2359.049	158.378	1128.137	2351.529	154.888	1088.645	2360.826	156.647	1051.183	2297.595	-51.324	1430.810	2347.830	-83.288	1260.389	2377.709	-89.780	1114.375	2296.067	-92.322	863.994	2353.306	-129.932	853.788	2313.668	-127.575	788.026	2270.079	361.347	1416.156	2301.134	418.273	1245.642	2265.618	456.525	1107.085	2055.816	394.752	950.803	2090.821	440.032	911.600	2004.351	421.465	895.974	2205.588	45.445	986.928	2367.456	117.428	1028.586	2366.425	203.821	1024.023	2200.405	262.108	983.380	2265.329	-21.216	811.992	2114.011	11.318	507.997	2097.296	9.815	443.355	2042.575	53.394	444.134	1985.223	50.318	95.505	2029.183	103.787	79.992	2020.724	108.972	42.849	1972.823	62.935	51.837	1922.868	46.497	62.467	1863.216	29.938	75.005	1848.970	71.611	102.786	1798.769	99.275	121.459	1906.510	93.960	124.663	2316.627	327.488	797.522	2402.798	280.824	498.846	2446.794	289.805	435.600	2399.277	240.024	412.438	2602.532	238.512	108.836	2645.081	192.326	120.824	2662.771	187.347	87.774	2616.951	225.689	67.450	2566.035	241.127	46.914	2514.011	254.796	25.330	2475.298	208.091	32.144	2438.511	164.161	19.494	2521.179	192.383	83.995
9	0.08000	2242.623	77.564	1634.075	2249.132	247.136	1624.731	2116.214	165.692	1653.784	2194.539	146.754	1380.884	2163.657	143.572	1227.303	2321.636	164.088	1476.714	2342.875	161.174	1440.620	2377.229	156.300	1308.352	2343.008	157.246	1126.173	2335.285	153.675	1086.532	2344.409	155.252	1049.087	2282.199	-52.319	1428.565	2332.147	-83.993	1257.897	2361.712	-90.347	1111.926	2282.194	-93.029	860.957	2339.069	-131.178	851.412	2300.194	-128.654	785.210	2254.172	360.460	1414.081	2284.802	417.249	1243.388	2248.722	455.479	1105.009	2037.555	393.516	950.767	2072.267	438.512	911.127	1985.548	420.222	896.533	2188.301	45.323	984.955	2350.683	115.927	1026.443	2350.301	202.258	1021.882	2184.503	262.331	981.899	2247.275	-22.296	809.708	2099.226	11.467	505.205	2081.961	9.880	440.916	2026.236	52.995	443.364	1961.337	50.958	96.093	2003.705	105.513	79.784	1994.235	110.406	42.908	1947.125	63.710	52.677	1897.569	46.655	64.177	1838.369	29.134	77.922	1824.149	70.489	106.291	1773.974	97.607	126.042	1882.013	93.494	127.109	2302.078	327.800	796.582	2390.265	281.256	498.480	2435.581	290.166	436.077	2388.162	240.820	411.596	2599.134	240.474	113.040	2641.451	193.960	126.257	2660.046	189.019	93.882	2614.869	227.098	71.740	2564.605	241.893	48.910	2513.604	255.057	25.463	2474.870	208.489	32.041	2438.595	164.137	19.664	2518.956	193.782	85.639
10	0.09000	2227.191	76.494	1632.431	2233.520	246.098	1623.211	2100.686	164.552	1652.212	2178.685	145.776	1379.144	2147.650	142.766	1225.615	2305.979	163.108	1474.882	2327.206	160.151	1438.841	2361.331	155.146	1306.536	2326.623	156.106	1124.238	2318.742	152.560	1084.640	2327.719	153.965	1047.158	2266.659	-53.445	1426.426	2316.232	-84.761	1255.538	2345.355	-90.923	1109.608	2267.648	-94.048	858.084	2324.488	-132.363	849.101	2286.287	-129.715	782.520	2238.399	359.515	1412.172	2268.459	416.165	1241.265	2231.875	454.218	1103.001	2019.700	392.221	950.386	2054.193	437.091	910.349	1967.294	418.987	896.640	2170.734	45.290	983.174	2333.552	114.502	1024.441	2333.502	200.799	1019.627	2168.297	262.576	980.583	2228.804	-23.030	807.747	2083.804	11.617	502.904	2066.302	10.113	438.612	2009.842	52.650	442.174	1939.601	51.775	95.690	1981.632	107.089	79.219	1971.710	111.951	42.327	1925.202	64.708	52.486	1875.979	47.092	64.441	1817.119	28.815	78.929	1802.792	69.830	107.693	1752.470	96.038	128.048	1860.810	93.348	127.940	2287.278	328.039	795.693	2376.813	281.801	497.906	2423.381	290.618	436.453	2376.013	241.754	410.560	2595.707	241.905	117.444	2637.093	195.999	132.420	2656.676	190.847	100.637	2612.331	228.688	76.457	2563.009	243.421	51.495	2513.131	255.343	25.647	2474.284	208.977	31.988	2438.876	164.034	19.691	2516.457	194.967	86.789
