NO_OF_FRAMES	386
NO_OF_CAMERAS	16
NO_OF_MARKERS	61
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2016-09-06, 20:13:53	12858.09897148
DATA_INCLUDED	3D
MARKER_NAMES	L_HEAD	R_HEAD	SGL	SJN	SXS	CV7	TV2	MAI	LV1	LV3	LV5	L_SAE	L_HUM	L_HLE	L_RSP	L_USP	L_HM2	R_SAE	R_HUM	R_HLE	R_RSP	R_USP	R_HM2	L_IAS	L_IPS	R_IPS	R_IAS	L_FTC	L_FLE	L_FME	L_FAX	L_TTC	L_FAL	L_TAM	L_FCC2	L_FCC	L_LCAL	L_FMT	L_FM5	L_FM2	L_PM6	L_FM1	L_P1MT	L_MCAL	R_FTC	R_FLE	R_FME	R_FAX	R_TTC	R_FAL	R_TAM	R_FCC2	R_FCC	R_LCAL	R_FMT	R_FM5	R_FM2	R_PM6	R_FM1	R_P1MT	R_MCAL
Frame	Time	L_HEAD X	L_HEAD Y	L_HEAD Z	R_HEAD X	R_HEAD Y	R_HEAD Z	SGL X	SGL Y	SGL Z	SJN X	SJN Y	SJN Z	SXS X	SXS Y	SXS Z	CV7 X	CV7 Y	CV7 Z	TV2 X	TV2 Y	TV2 Z	MAI X	MAI Y	MAI Z	LV1 X	LV1 Y	LV1 Z	LV3 X	LV3 Y	LV3 Z	LV5 X	LV5 Y	LV5 Z	L_SAE X	L_SAE Y	L_SAE Z	L_HUM X	L_HUM Y	L_HUM Z	L_HLE X	L_HLE Y	L_HLE Z	L_RSP X	L_RSP Y	L_RSP Z	L_USP X	L_USP Y	L_USP Z	L_HM2 X	L_HM2 Y	L_HM2 Z	R_SAE X	R_SAE Y	R_SAE Z	R_HUM X	R_HUM Y	R_HUM Z	R_HLE X	R_HLE Y	R_HLE Z	R_RSP X	R_RSP Y	R_RSP Z	R_USP X	R_USP Y	R_USP Z	R_HM2 X	R_HM2 Y	R_HM2 Z	L_IAS X	L_IAS Y	L_IAS Z	L_IPS X	L_IPS Y	L_IPS Z	R_IPS X	R_IPS Y	R_IPS Z	R_IAS X	R_IAS Y	R_IAS Z	L_FTC X	L_FTC Y	L_FTC Z	L_FLE X	L_FLE Y	L_FLE Z	L_FME X	L_FME Y	L_FME Z	L_FAX X	L_FAX Y	L_FAX Z	L_TTC X	L_TTC Y	L_TTC Z	L_FAL X	L_FAL Y	L_FAL Z	L_TAM X	L_TAM Y	L_TAM Z	L_FCC2 X	L_FCC2 Y	L_FCC2 Z	L_FCC X	L_FCC Y	L_FCC Z	L_LCAL X	L_LCAL Y	L_LCAL Z	L_FMT X	L_FMT Y	L_FMT Z	L_FM5 X	L_FM5 Y	L_FM5 Z	L_FM2 X	L_FM2 Y	L_FM2 Z	L_PM6 X	L_PM6 Y	L_PM6 Z	L_FM1 X	L_FM1 Y	L_FM1 Z	L_P1MT X	L_P1MT Y	L_P1MT Z	L_MCAL X	L_MCAL Y	L_MCAL Z	R_FTC X	R_FTC Y	R_FTC Z	R_FLE X	R_FLE Y	R_FLE Z	R_FME X	R_FME Y	R_FME Z	R_FAX X	R_FAX Y	R_FAX Z	R_TTC X	R_TTC Y	R_TTC Z	R_FAL X	R_FAL Y	R_FAL Z	R_TAM X	R_TAM Y	R_TAM Z	R_FCC2 X	R_FCC2 Y	R_FCC2 Z	R_FCC X	R_FCC Y	R_FCC Z	R_LCAL X	R_LCAL Y	R_LCAL Z	R_FMT X	R_FMT Y	R_FMT Z	R_FM5 X	R_FM5 Y	R_FM5 Z	R_FM2 X	R_FM2 Y	R_FM2 Z	R_PM6 X	R_PM6 Y	R_PM6 Z	R_FM1 X	R_FM1 Y	R_FM1 Z	R_P1MT X	R_P1MT Y	R_P1MT Z	R_MCAL X	R_MCAL Y	R_MCAL Z	
1	0.00000	547.489	481.875	1655.172	539.631	312.015	1642.077	657.226	388.903	1714.972	626.585	410.795	1411.962	664.572	408.662	1260.954	495.124	404.840	1498.806	474.717	409.452	1465.217	447.509	418.040	1329.536	499.528	411.560	1148.274	510.142	413.651	1110.179	504.305	412.486	1073.095	521.501	603.871	1472.488	453.287	641.732	1318.681	423.523	672.304	1176.082	679.128	660.195	1174.202	683.792	673.761	1107.018	749.341	686.011	1138.996	515.128	211.908	1457.570	425.701	187.463	1305.035	412.770	142.877	1168.884	669.786	158.621	1178.233	666.074	145.797	1110.545	732.082	117.396	1161.014	667.975	519.807	1015.390	501.821	451.942	1051.950	497.602	364.701	1045.344	659.849	300.740	1012.791	566.514	588.833	843.518	542.708	572.370	508.235	520.623	458.947	514.090	527.021	577.356	440.390	569.211	526.595	418.890	487.798	544.995	76.351	497.613	465.941	96.954	434.665	499.347	75.684	427.674	497.786	38.240	479.661	537.746	33.517	531.372	547.417	27.869	594.133	566.812	18.949	617.692	514.555	33.769	668.589	475.575	15.991	631.771	465.203	18.596	564.184	490.958	71.851	485.283	469.342	32.958	569.164	236.376	821.790	552.932	247.746	509.213	539.138	351.336	489.555	525.851	234.564	439.109	580.260	280.377	424.363	482.359	260.825	77.508	512.144	339.937	88.670	440.896	310.769	74.286	433.072	311.341	39.461	480.117	269.143	33.476	533.858	252.938	27.569	590.609	231.290	19.868	628.858	279.082	31.168	670.261	320.093	17.713	638.763	329.907	22.404	571.640	300.906	71.519	488.816	335.470	34.555
2	0.01000	547.482	482.115	1655.097	539.626	312.229	1642.159	657.192	389.175	1715.030	626.583	410.920	1412.034	664.628	408.719	1261.028	495.090	404.988	1498.808	474.660	409.612	1465.208	447.482	418.190	1329.531	499.540	411.678	1148.276	510.177	413.770	1110.157	504.313	412.610	1073.085	521.613	604.030	1472.495	453.357	641.869	1318.699	423.609	672.437	1176.110	679.213	660.124	1174.116	683.854	673.702	1106.930	749.443	685.888	1138.862	515.152	212.053	1457.685	425.773	187.549	1305.113	412.915	142.949	1168.963	669.911	158.606	1178.444	666.281	145.735	1110.768	732.274	117.369	1161.269	668.082	519.858	1015.314	501.848	452.074	1051.940	497.572	364.823	1045.339	659.771	300.753	1012.807	566.575	588.908	843.501	542.610	572.396	508.220	520.574	458.996	514.093	526.938	577.363	440.399	569.112	526.635	418.892	487.764	544.988	76.356	497.611	465.946	96.958	434.488	498.926	75.595	427.676	497.775	38.241	479.668	537.719	33.519	531.365	547.400	27.855	594.122	566.801	18.933	617.683	514.548	33.759	668.601	475.572	15.995	631.758	465.207	18.583	564.191	490.955	71.839	485.118	468.659	33.335	569.085	236.423	821.791	552.881	247.778	509.214	539.111	351.372	489.551	525.802	234.606	439.110	580.254	280.385	424.388	482.369	260.824	77.509	512.129	339.948	88.674	440.900	310.782	74.286	433.065	311.334	39.468	480.140	269.171	33.478	533.877	252.943	27.559	590.604	231.278	19.860	628.853	279.072	31.147	670.264	320.083	17.729	638.767	329.899	22.385	571.647	300.907	71.507	488.822	335.469	34.534
3	0.02000	547.476	482.327	1655.022	539.612	312.453	1642.232	657.165	389.441	1715.122	626.607	411.028	1412.110	664.686	408.812	1261.111	495.043	405.146	1498.807	474.641	409.744	1465.208	447.487	418.332	1329.507	499.543	411.848	1148.271	510.178	413.926	1110.143	504.340	412.756	1073.091	521.726	604.216	1472.495	453.437	642.040	1318.715	423.678	672.579	1176.128	679.321	660.005	1174.019	683.913	673.632	1106.868	749.517	685.746	1138.757	515.197	212.194	1457.799	425.875	187.643	1305.181	413.056	142.989	1169.042	670.057	158.628	1178.625	666.437	145.706	1111.002	732.434	117.387	1161.517	668.197	519.922	1015.240	501.881	452.214	1051.915	497.530	364.946	1045.361	659.724	300.791	1012.830	566.619	588.954	843.465	542.517	572.465	508.256	520.481	458.999	514.077	526.833	577.370	440.411	569.034	526.665	418.913	487.767	544.985	76.348	497.601	465.951	96.948	434.654	499.290	75.679	427.685	497.713	38.267	479.675	537.704	33.535	531.362	547.401	27.862	594.125	566.817	18.946	617.684	514.569	33.756	668.603	475.574	15.995	631.765	465.195	18.576	564.187	490.958	71.840	485.285	469.297	32.957	568.995	236.496	821.811	552.844	247.814	509.228	539.108	351.411	489.542	525.772	234.645	439.146	580.201	280.440	424.379	482.360	260.837	77.517	512.156	339.947	88.671	440.916	310.792	74.281	433.062	311.328	39.468	480.134	269.169	33.498	533.861	252.957	27.564	590.614	231.285	19.868	628.870	279.083	31.159	670.263	320.099	17.713	638.773	329.901	22.394	571.650	300.910	71.521	488.818	335.461	34.501
4	0.03000	547.451	482.569	1654.979	539.598	312.675	1642.311	657.118	389.741	1715.184	626.636	411.156	1412.184	664.792	408.903	1261.138	495.224	405.396	1498.689	474.605	409.881	1465.190	447.480	418.457	1329.484	499.540	412.003	1148.248	510.176	414.056	1110.154	504.341	412.889	1073.075	521.829	604.391	1472.488	453.514	642.158	1318.724	423.467	672.619	1176.128	679.289	660.153	1173.719	683.960	673.569	1106.794	749.563	684.990	1139.114	515.218	212.284	1457.904	426.105	187.674	1305.240	413.212	143.067	1169.108	670.612	158.385	1178.327	666.616	145.735	1111.157	732.566	117.406	1161.725	668.330	519.997	1015.145	501.961	452.333	1051.905	497.523	365.079	1045.368	659.680	300.819	1012.840	566.675	589.030	843.442	542.430	572.476	508.216	520.417	459.039	514.074	526.599	577.305	440.387	568.969	526.707	418.925	487.988	544.843	75.796	497.479	465.893	97.157	434.415	499.129	75.719	427.632	498.074	37.975	479.667	537.708	33.523	531.365	547.393	27.851	594.566	566.588	19.087	617.732	514.737	34.025	668.704	475.528	16.118	631.761	465.204	18.616	563.979	490.887	71.986	485.132	468.625	33.330	568.906	236.535	821.848	552.810	247.857	509.224	539.129	351.493	489.483	525.744	234.690	439.150	580.192	280.459	424.399	482.291	260.584	77.859	511.952	340.025	88.662	440.793	310.303	74.190	433.452	311.509	38.833	480.136	269.182	33.492	533.865	252.950	27.579	590.257	230.669	20.293	629.186	279.520	31.222	670.251	320.152	17.685	638.771	329.910	22.399	571.784	300.242	71.651	488.821	335.489	34.542
5	0.04000	547.373	482.859	1654.940	539.636	312.826	1642.411	657.128	389.870	1715.417	626.537	411.212	1412.194	664.851	409.044	1261.165	495.219	405.548	1498.689	474.588	410.020	1465.184	447.641	418.433	1329.433	499.606	412.129	1148.209	510.220	414.193	1110.132	504.369	412.995	1073.085	521.984	604.546	1472.390	453.667	642.281	1318.673	423.618	672.715	1176.098	679.352	660.107	1173.600	684.022	673.516	1106.743	749.655	684.923	1139.010	515.254	212.346	1457.995	426.249	187.773	1305.264	413.398	143.177	1169.163	670.813	158.410	1178.545	666.681	145.653	1111.510	732.784	117.439	1161.892	668.486	520.106	1015.020	502.036	452.473	1051.919	497.548	365.202	1045.379	659.642	300.831	1012.783	566.797	589.114	843.393	542.493	572.633	508.245	520.377	459.092	514.065	526.492	577.354	440.399	568.873	526.770	418.909	488.023	544.822	75.789	497.558	465.950	97.192	434.332	499.189	75.765	427.543	498.085	38.082	479.718	537.716	33.510	531.418	547.418	27.837	594.603	566.622	19.073	617.797	514.817	34.062	668.752	475.644	16.153	631.694	465.405	18.474	564.059	490.981	71.971	485.215	468.614	33.432	568.827	236.586	821.826	552.795	247.911	509.209	539.166	351.531	489.507	525.721	234.842	439.128	580.212	280.534	424.468	482.307	260.627	77.889	512.146	340.077	88.678	440.579	310.468	74.276	433.220	311.569	39.024	480.109	269.231	33.625	533.867	253.038	27.656	590.263	230.726	20.378	629.270	279.624	31.254	670.329	320.230	17.720	638.886	329.914	22.382	571.783	300.307	71.837	488.904	335.506	34.539
6	0.05000	547.307	483.081	1654.868	539.604	313.014	1642.497	657.109	390.064	1715.496	626.571	411.350	1412.277	664.933	409.137	1261.256	495.182	405.670	1498.702	474.532	410.126	1465.192	447.662	418.512	1329.410	499.588	412.248	1148.204	510.249	414.309	1110.131	504.424	413.134	1073.059	522.131	604.752	1472.373	453.794	642.466	1318.663	423.685	672.829	1176.094	679.411	660.037	1173.519	684.071	673.419	1106.672	749.751	684.773	1138.904	515.314	212.435	1458.074	426.353	187.842	1305.305	413.569	143.256	1169.208	670.967	158.463	1178.674	666.870	145.708	1111.653	732.956	117.477	1162.089	668.596	520.197	1014.937	502.103	452.605	1051.869	497.557	365.314	1045.383	659.614	300.831	1012.781	566.880	589.167	843.373	542.438	572.680	508.234	520.301	459.137	514.060	526.428	577.370	440.396	568.831	526.824	418.936	488.023	544.818	75.795	497.590	465.972	97.191	434.330	499.217	75.784	427.528	498.082	38.093	479.735	537.721	33.503	531.414	547.433	27.828	594.606	566.623	19.050	617.799	514.852	34.088	668.752	475.677	16.164	631.690	465.419	18.485	564.037	491.007	71.969	485.225	468.619	33.448	568.719	236.641	821.829	552.755	247.957	509.226	539.139	351.566	489.507	525.692	234.891	439.130	580.158	280.577	424.488	482.304	260.666	77.897	512.152	340.116	88.698	440.571	310.478	74.276	433.192	311.574	39.042	480.088	269.247	33.652	533.865	253.063	27.683	590.252	230.724	20.395	629.269	279.657	31.263	670.342	320.241	17.732	638.906	329.916	22.392	571.759	300.332	71.865	488.928	335.516	34.504
7	0.06000	547.285	483.313	1654.753	539.571	313.196	1642.589	657.037	390.306	1715.523	626.593	411.443	1412.331	665.028	409.262	1261.379	495.149	405.812	1498.691	474.539	410.280	1465.167	447.665	418.592	1329.361	499.598	412.342	1148.195	510.264	414.410	1110.103	504.482	413.240	1073.025	522.241	604.911	1472.360	453.938	642.624	1318.647	423.786	672.954	1176.071	679.490	659.966	1173.452	684.138	673.334	1106.583	749.825	684.635	1138.792	515.384	212.515	1458.145	426.491	187.907	1305.334	413.724	143.290	1169.250	671.135	158.546	1178.806	667.026	145.764	1111.774	733.137	117.544	1162.248	668.689	520.288	1014.840	502.147	452.681	1051.869	497.557	365.412	1045.399	659.594	300.867	1012.797	566.937	589.229	843.349	542.417	572.733	508.238	520.266	459.185	514.057	526.366	577.401	440.411	568.788	526.850	418.926	488.013	544.820	75.813	497.574	465.978	97.217	434.314	499.225	75.819	427.521	498.055	38.113	479.727	537.729	33.527	531.433	547.432	27.842	594.605	566.618	19.066	617.795	514.838	34.071	668.750	475.669	16.187	631.672	465.424	18.466	564.054	491.001	71.971	485.228	468.608	33.452	568.666	236.669	821.879	552.730	247.970	509.235	539.142	351.592	489.509	525.635	234.926	439.132	580.127	280.565	424.501	482.301	260.676	77.933	512.164	340.115	88.712	440.556	310.479	74.299	433.180	311.552	39.031	480.084	269.257	33.659	533.861	253.063	27.682	590.244	230.724	20.388	629.283	279.646	31.276	670.341	320.253	17.738	638.906	329.919	22.376	571.779	300.328	71.851	488.932	335.518	34.516
8	0.07000	547.257	483.556	1654.652	539.506	313.401	1642.652	656.965	390.597	1715.549	626.652	411.583	1412.387	665.081	409.369	1261.429	495.137	405.962	1498.672	474.502	410.419	1465.153	447.680	418.695	1329.353	499.616	412.462	1148.195	510.289	414.506	1110.101	504.495	413.334	1073.035	522.362	605.083	1472.352	454.024	642.777	1318.680	423.858	673.073	1176.099	679.559	659.880	1173.377	684.207	673.248	1106.499	749.934	684.490	1138.680	515.464	212.607	1458.211	426.603	187.973	1305.352	413.928	143.355	1169.273	671.194	158.629	1178.985	667.187	145.882	1111.874	733.325	117.643	1162.388	668.780	520.378	1014.769	502.144	452.774	1051.887	497.572	365.510	1045.378	659.591	300.898	1012.813	567.033	589.281	843.310	542.411	572.787	508.248	520.224	459.227	514.079	526.342	577.414	440.407	568.776	526.881	418.932	488.016	544.819	75.774	497.545	465.974	97.198	434.301	499.189	75.770	427.501	498.066	38.110	479.709	537.697	33.500	531.423	547.438	27.833	594.604	566.623	19.055	617.806	514.868	34.098	668.749	475.688	16.179	631.680	465.447	18.491	564.058	491.032	71.971	485.209	468.610	33.468	568.621	236.718	821.884	552.703	248.002	509.256	539.111	351.617	489.509	525.597	234.949	439.154	580.122	280.602	424.508	482.288	260.681	77.927	512.159	340.110	88.728	440.549	310.516	74.306	433.169	311.592	39.068	480.083	269.277	33.677	533.857	253.059	27.685	590.244	230.725	20.393	629.285	279.656	31.269	670.354	320.254	17.749	638.902	329.906	22.379	571.796	300.342	71.865	488.925	335.530	34.505
9	0.08000	547.224	483.722	1654.570	539.464	313.564	1642.744	656.903	390.795	1715.601	626.723	411.686	1412.448	665.179	409.464	1261.490	495.107	406.064	1498.682	474.508	410.553	1465.138	447.692	418.799	1329.320	499.659	412.538	1148.138	510.290	414.595	1110.077	504.525	413.402	1073.022	522.448	605.243	1472.375	454.105	642.903	1318.730	423.946	673.187	1176.098	679.658	659.793	1173.357	684.264	673.127	1106.447	750.015	684.322	1138.606	515.516	212.716	1458.276	426.725	188.009	1305.374	414.107	143.419	1169.263	671.374	158.758	1179.068	667.388	145.967	1111.960	733.502	117.780	1162.514	668.846	520.476	1014.705	502.189	452.860	1051.849	497.592	365.563	1045.376	659.604	300.964	1012.841	567.109	589.335	843.309	542.449	572.810	508.224	520.251	459.248	514.056	526.351	577.463	440.391	568.768	526.905	418.952	488.000	544.816	75.795	497.563	465.998	97.230	434.299	499.225	75.790	427.502	498.071	38.118	479.706	537.718	33.498	531.422	547.437	27.848	594.611	566.625	19.049	617.806	514.859	34.087	668.748	475.679	16.175	631.663	465.438	18.492	564.038	491.011	71.963	485.222	468.625	33.472	568.602	236.747	821.884	552.671	248.020	509.274	539.120	351.634	489.497	525.598	234.979	439.177	580.128	280.601	424.532	482.293	260.698	77.925	512.193	340.132	88.718	440.550	310.524	74.316	433.166	311.570	39.051	480.095	269.264	33.675	533.852	253.081	27.696	590.236	230.740	20.406	629.284	279.657	31.272	670.343	320.250	17.761	638.905	329.926	22.387	571.764	300.320	71.860	488.938	335.535	34.516
10	0.09000	547.202	483.898	1654.500	539.415	313.758	1642.799	656.816	391.038	1715.633	626.753	411.812	1412.487	665.278	409.586	1261.570	495.100	406.192	1498.670	474.508	410.658	1465.118	447.704	418.891	1329.311	499.640	412.588	1148.163	510.324	414.659	1110.070	504.516	413.477	1073.012	522.543	605.363	1472.385	454.172	643.002	1318.737	424.023	673.307	1176.117	679.740	659.713	1173.299	684.348	673.060	1106.432	750.161	684.136	1138.496	515.554	212.828	1458.341	426.850	188.089	1305.400	414.271	143.471	1169.267	671.535	158.836	1179.150	667.581	146.085	1112.084	733.705	117.906	1162.589	668.908	520.576	1014.646	502.245	452.929	1051.837	497.616	365.636	1045.350	659.600	301.004	1012.839	567.181	589.402	843.301	542.481	572.841	508.234	520.255	459.297	514.071	526.381	577.485	440.399	568.792	526.941	418.921	488.000	544.845	75.790	497.595	466.000	97.232	434.295	499.240	75.780	427.509	498.071	38.121	479.707	537.727	33.501	531.410	547.435	27.837	594.609	566.625	19.049	617.807	514.866	34.093	668.752	475.686	16.172	631.671	465.439	18.461	564.054	491.018	71.976	485.219	468.599	33.484	568.600	236.771	821.896	552.656	248.020	509.260	539.102	351.640	489.517	525.577	235.007	439.176	580.088	280.629	424.516	482.304	260.700	77.937	512.195	340.127	88.725	440.538	310.492	74.304	433.161	311.572	39.063	480.084	269.272	33.686	533.860	253.069	27.680	590.235	230.732	20.393	629.278	279.660	31.285	670.340	320.246	17.739	638.912	329.917	22.371	571.779	300.337	71.881	488.937	335.534	34.531
